date,yield
22/04/2021,+4.21%
21/04/2021,-4.57%
20/04/2021,-0.90%
19/04/2021,+0.18%
16/04/2021,+0.55%
15/04/2021,-2.05%
14/04/2021,-0.44%
13/04/2021,+1.17%
12/04/2021,-4.30%
09/04/2021,+3.57%
08/04/2021,-0.27%
07/04/2021,+0.18%
06/04/2021,+2.09%
05/04/2021,-0.27%
02/04/2021,+2.99%
01/04/2021,+2.00%
31/03/2021,-2.33%
30/03/2021,+1.42%
29/03/2021,-1.12%
26/03/2021,0.00%
25/03/2021,+1.32%
24/03/2021,-0.28%
23/03/2021,-1.49%
22/03/2021,-1.37%
19/03/2021,+0.65%
18/03/2021,-1.09%
17/03/2021,+2.14%
16/03/2021,+0.85%
15/03/2021,+1.14%
12/03/2021,+0.29%
11/03/2021,-0.19%
10/03/2021,-2.59%
09/03/2021,+2.66%
08/03/2021,+0.29%
05/03/2021,+0.96%
04/03/2021,+1.27%
03/03/2021,0.00%
02/03/2021,-3.12%
01/03/2021,-3.64%
26/02/2021,+4.27%
25/02/2021,+0.29%
24/02/2021,+0.48%
23/02/2021,+1.65%
22/02/2021,-1.06%
19/02/2021,-2.26%
18/02/2021,-1.66%
17/02/2021,+3.24%
16/02/2021,0.00%
15/02/2021,0.00%
12/02/2021,+33.67%
11/02/2021,-25.19%
10/02/2021,-4.55%
09/02/2021,+2.04%
08/02/2021,-1.56%
05/02/2021,-11.71%
04/02/2021,0.00%
03/02/2021,+5.63%
02/02/2021,-0.93%
01/02/2021,+0.94%
29/01/2021,-1.92%
28/01/2021,+3.82%
27/01/2021,+1.59%
26/01/2021,+0.18%
25/01/2021,+2.72%
22/01/2021,+5.26%
21/01/2021,+3.16%
20/01/2021,+7.42%
19/01/2021,-5.51%
18/01/2021,+0.40%
15/01/2021,-5.60%
14/01/2021,-3.83%
13/01/2021,-9.57%
12/01/2021,-0.98%
11/01/2021,-0.49%
08/01/2021,-1.60%
07/01/2021,+1.63%
06/01/2021,+1.15%
05/01/2021,+0.75%
04/01/2021,-0.17%
31/12/2020,+5.59%
30/12/2020,+0.17%
29/12/2020,-0.17%
28/12/2020,+17.56%
25/12/2020,-1.72%
24/12/2020,-3.22%
23/12/2020,+0.29%
22/12/2020,-2.30%
21/12/2020,-2.34%
18/12/2020,+1.13%
17/12/2020,+2.72%
16/12/2020,-2.83%
15/12/2020,-3.46%
14/12/2020,-1.44%
11/12/2020,-2.45%
10/12/2020,-4.19%
09/12/2020,+1.19%
08/12/2020,-0.51%
07/12/2020,+0.25%
04/12/2020,-1.25%
03/12/2020,-1.64%
02/12/2020,+0.66%
01/12/2020,-0.33%
30/11/2020,-1.06%
27/11/2020,+1.66%
26/11/2020,-4.82%
25/11/2020,-0.39%
24/11/2020,-0.78%
23/11/2020,+0.31%
20/11/2020,+0.39%
19/11/2020,-1.62%
18/11/2020,-1.37%
17/11/2020,-2.24%
16/11/2020,-2.19%
13/11/2020,-0.36%
12/11/2020,-0.79%
11/11/2020,-0.57%
10/11/2020,-0.57%
09/11/2020,+1.45%
06/11/2020,+0.80%
05/11/2020,-2.14%
04/11/2020,+1.01%
03/11/2020,+0.14%
02/11/2020,+17.36%
30/10/2020,+1.03%
29/10/2020,+1.74%
28/10/2020,+1.50%
27/10/2020,-0.88%
26/10/2020,+2.79%
23/10/2020,-0.09%
22/10/2020,-1.16%
21/10/2020,+1.35%
20/10/2020,-1.68%
19/10/2020,+1.44%
16/10/2020,+1.83%
15/10/2020,-1.80%
14/10/2020,-0.36%
13/10/2020,-0.89%
12/10/2020,+0.99%
09/10/2020,+0.18%
08/10/2020,-0.89%
07/10/2020,-1.66%
06/10/2020,+1.51%
05/10/2020,-1.57%
02/10/2020,-7.52%
01/10/2020,-7.82%
30/09/2020,+4.27%
29/09/2020,-2.79%
28/09/2020,-1.63%
25/09/2020,+0.52%
24/09/2020,-3.32%
23/09/2020,+3.59%
22/09/2020,+1.21%
21/09/2020,-3.22%
18/09/2020,-4.94%
17/09/2020,-0.97%
16/09/2020,-1.29%
15/09/2020,+0.41%
14/09/2020,-2.79%
11/09/2020,-2.46%
10/09/2020,-2.47%
09/09/2020,-0.06%
08/09/2020,-1.92%
07/09/2020,-2.30%
04/09/2020,+0.12%
03/09/2020,+3.45%
02/09/2020,-3.04%
01/09/2020,+0.18%
31/08/2020,+0.06%
28/08/2020,-1.32%
27/08/2020,-0.36%
26/08/2020,+0.12%
25/08/2020,-0.66%
24/08/2020,+0.36%
21/08/2020,-0.30%
20/08/2020,+0.12%
19/08/2020,+0.84%
18/08/2020,+0.06%
17/08/2020,-0.95%
14/08/2020,-0.36%
13/08/2020,+2.06%
12/08/2020,-0.30%
11/08/2020,-1.14%
10/08/2020,+0.48%
07/08/2020,-1.01%
06/08/2020,-0.18%
05/08/2020,-3.55%
04/08/2020,-1.36%
03/08/2020,-1.67%
31/07/2020,-0.94%
30/07/2020,-4.62%
29/07/2020,+4.90%
28/07/2020,+1.17%
27/07/2020,+2.87%
24/07/2020,-0.29%
23/07/2020,+1.33%
22/07/2020,-3.68%
21/07/2020,-0.83%
20/07/2020,-0.17%
17/07/2020,-0.22%
16/07/2020,+2.25%
15/07/2020,-1.88%
14/07/2020,-4.99%
13/07/2020,-0.68%
10/07/2020,-0.52%
09/07/2020,-0.41%
08/07/2020,-0.72%
07/07/2020,-1.07%
06/07/2020,-0.51%
03/07/2020,-1.25%
02/07/2020,+0.91%
01/07/2020,+3.33%
30/06/2020,+0.26%
29/06/2020,0.00%
26/06/2020,-0.67%
25/06/2020,0.00%
24/06/2020,-1.98%
23/06/2020,-4.65%
22/06/2020,+0.78%
19/06/2020,+1.08%
18/06/2020,+3.79%
17/06/2020,-1.06%
16/06/2020,+0.15%
15/06/2020,+1.54%
12/06/2020,+2.05%
11/06/2020,-2.51%
10/06/2020,-0.46%
09/06/2020,-0.81%
08/06/2020,-1.30%
05/06/2020,+0.05%
04/06/2020,-1.62%
03/06/2020,-1.41%
02/06/2020,-2.23%
01/06/2020,-0.38%
29/05/2020,-0.47%
28/05/2020,+1.09%
27/05/2020,-0.05%
26/05/2020,+1.79%
25/05/2020,+5.40%
22/05/2020,+2.51%
21/05/2020,-2.69%
20/05/2020,-3.48%
19/05/2020,-2.53%
18/05/2020,-0.38%
15/05/2020,+1.79%
14/05/2020,+0.29%
13/05/2020,-0.24%
12/05/2020,-1.67%
11/05/2020,-2.46%
08/05/2020,-4.44%
07/05/2020,+1.76%
06/05/2020,-0.58%
05/05/2020,-3.26%
04/05/2020,-0.13%
01/05/2020,0.00%
30/04/2020,-4.16%
29/04/2020,+2.34%
28/04/2020,-0.38%
27/04/2020,-2.84%
24/04/2020,-0.82%
23/04/2020,-4.30%
22/04/2020,+0.12%
21/04/2020,+1.19%
20/04/2020,-1.45%
17/04/2020,+0.59%
16/04/2020,-4.11%
15/04/2020,+2.23%
14/04/2020,+0.82%
13/04/2020,-4.49%
10/04/2020,+2.98%
09/04/2020,+1.75%
08/04/2020,-4.95%
07/04/2020,-7.93%
06/04/2020,-4.33%
03/04/2020,+4.15%
02/04/2020,-3.26%
01/04/2020,+7.66%
31/03/2020,+1.65%
30/03/2020,+6.54%
27/03/2020,+11.56%
26/03/2020,+6.69%
25/03/2020,-4.52%
24/03/2020,+0.31%
23/03/2020,+6.55%
20/03/2020,-0.32%
19/03/2020,+6.82%
18/03/2020,+1.30%
17/03/2020,+2.41%
16/03/2020,+0.93%
13/03/2020,+2.71%
12/03/2020,+2.45%
11/03/2020,-1.50%
10/03/2020,+7.37%
09/03/2020,+0.75%
06/03/2020,-2.55%
05/03/2020,+0.57%
04/03/2020,-10.49%
03/03/2020,-0.61%
02/03/2020,-3.70%
28/02/2020,+0.44%
27/02/2020,+0.05%
26/02/2020,0.00%
25/02/2020,-4.80%
24/02/2020,+4.23%
21/02/2020,+5.65%
20/02/2020,-0.15%
19/02/2020,+0.46%
18/02/2020,-1.92%
17/02/2020,-4.21%
14/02/2020,+0.54%
13/02/2020,-3.66%
12/02/2020,-2.20%
11/02/2020,-0.59%
10/02/2020,+5.07%
07/02/2020,-1.83%
06/02/2020,-2.74%
05/02/2020,-3.48%
04/02/2020,+1.89%
03/02/2020,+10.97%
31/01/2020,+2.45%
30/01/2020,+7.41%
29/01/2020,0.00%
28/01/2020,0.00%
27/01/2020,0.00%
24/01/2020,0.00%
23/01/2020,-5.40%
22/01/2020,+0.26%
21/01/2020,+11.23%
20/01/2020,+1.17%
17/01/2020,-0.52%
16/01/2020,+2.14%
15/01/2020,-5.30%
14/01/2020,-4.47%
13/01/2020,-1.17%
10/01/2020,+0.27%
09/01/2020,+2.74%
08/01/2020,-3.85%
07/01/2020,-2.47%
06/01/2020,-2.16%
03/01/2020,-3.26%
02/01/2020,+8.16%
01/01/2020,-5.00%
